title_link,title_link/_text,title_link/_title,author_value,book_link,book_link/_text,book_link/_title,"_PAGE_NUMBER"
"http://bon.edu.pl/katalog/lektura/solidarnosc-19801981-niemozliwa-koegzystencja-z-komunizmem/","„Solidarność” 1980–1981: niemożliwa koegzystencja z komunizmem","","Holzer Jerzy","http://bon.edu.pl/katalog/lektura/solidarnosc-19801981-niemozliwa-koegzystencja-z-komunizmem/","book","","1"
"http://bon.edu.pl/katalog/lektura/ubrani-w-plec-nowe-podejscie-do-plci-w-psychologii/","„Ubrani w płeć” – nowe podejście do płci w psychologii?","","Łyczba Emilia","http://bon.edu.pl/katalog/lektura/ubrani-w-plec-nowe-podejscie-do-plci-w-psychologii/","book","","1"
"http://bon.edu.pl/katalog/lektura/wazary-polski-stanislawa-kostki-potockiego/","""Wazary polski"" Stanisława Kostki Potockiego","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/wazary-polski-stanislawa-kostki-potockiego/","book","","1"
"http://bon.edu.pl/katalog/lektura/11-listopada-1918-swieto-niepodleglosci/","11 listopada 1918 - Święto Niepodległości","","Łossowski Piotr","http://bon.edu.pl/katalog/lektura/11-listopada-1918-swieto-niepodleglosci/","book","","1"
"http://bon.edu.pl/katalog/lektura/5020-szkice-i-eseje-na-dwudziestolecie-miedzynarodowego-centrum-kultury/","50/20. Szkice i eseje na dwudziestolecie Międzynarodowego Centrum Kultury","","MCK","http://bon.edu.pl/katalog/lektura/5020-szkice-i-eseje-na-dwudziestolecie-miedzynarodowego-centrum-kultury/","book","","1"
"http://bon.edu.pl/katalog/lektura/gdzie-polacy/","A gdzie Polacy?","","Tygielski Wojciech","http://bon.edu.pl/katalog/lektura/gdzie-polacy/","book","","1"
"http://bon.edu.pl/katalog/lektura/aging-social-space/","Aging in the Social Space","","Klimczuk Andrzej , Tomczyk Łukasz","http://bon.edu.pl/katalog/lektura/aging-social-space/","book","","1"
"http://bon.edu.pl/katalog/lektura/aglauros-w-przysiedze-efebow-atenskich-z-iv-w-pne/","Aglauros w przysiędze efebów ateńskich z IV w. p.n.e.","","Lengauer Włodzimierz","http://bon.edu.pl/katalog/lektura/aglauros-w-przysiedze-efebow-atenskich-z-iv-w-pne/","book","","1"
"http://bon.edu.pl/katalog/lektura/agresja-elektroniczna-i-cyberbullying-wsrod-dzieci-i-mlodziezy-dzialania-szkoly/","Agresja elektroniczna i cyberbullying wśród dzieci i młodzieży a działania szkoły","","Czesławiak Adam","http://bon.edu.pl/katalog/lektura/agresja-elektroniczna-i-cyberbullying-wsrod-dzieci-i-mlodziezy-dzialania-szkoly/","book","","1"
"http://bon.edu.pl/katalog/lektura/akademizm/","Akademizm","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/akademizm/","book","","1"
"http://bon.edu.pl/katalog/lektura/akademizm-wyd-3-rozsz/","Akademizm, wyd. 3 rozsz.","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/akademizm-wyd-3-rozsz/","book","","1"
"http://bon.edu.pl/katalog/lektura/alegorie-w-drugiej-polowie-xix-wieku/","Alegorie w drugiej połowie XIX wieku","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/alegorie-w-drugiej-polowie-xix-wieku/","book","","1"
"http://bon.edu.pl/katalog/lektura/aleksandrowi-hallowi-odpowiedz-na-odpowiedz/","Aleksandrowi Hallowi odpowiedź na odpowiedź","","Bartyzel Jacek","http://bon.edu.pl/katalog/lektura/aleksandrowi-hallowi-odpowiedz-na-odpowiedz/","book","","1"
"http://bon.edu.pl/katalog/lektura/alternatywy-dla-zydowskiego-disneylandu-przyklady-mozliwego-podejscia-do-przeszlosci-zydowskiej-w-europejskich-miastach/","Alternatywy dla „żydowskiego Disneylandu"" - przykłady możliwego podejścia do przeszłości żydowskiej w europejskich miastach","","Lustig Sandra","http://bon.edu.pl/katalog/lektura/alternatywy-dla-zydowskiego-disneylandu-przyklady-mozliwego-podejscia-do-przeszlosci-zydowskiej-w-europejskich-miastach/","book","","1"
"http://bon.edu.pl/katalog/lektura/aneks-analiza-programow-nauczania-wykaz-programow-poddanych-analizie-ilosciowej-i-jakosciowej/","Aneks: Analiza programów nauczania – wykaz programów poddanych analizie ilościowej i jakościowej","","Siuda Piotr, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/aneks-analiza-programow-nauczania-wykaz-programow-poddanych-analizie-ilosciowej-i-jakosciowej/","book","","1"
"http://bon.edu.pl/katalog/lektura/aneks-ilosciowa-analiza-programow-nauczania-model-kompetencji-jako-narzedzie-analizy/","Aneks: Ilościowa analiza programów nauczania – model kompetencji jako narzędzie analizy","","Siuda Piotr, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/aneks-ilosciowa-analiza-programow-nauczania-model-kompetencji-jako-narzedzie-analizy/","book","","2"
"http://bon.edu.pl/katalog/lektura/aneks-ilosciowa-analiza-programow-nauczania-tabele-z-wartosciami-zmiennych/","Aneks: Ilościowa analiza programów nauczania – tabele z wartościami zmiennych","","Siuda Piotr, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/aneks-ilosciowa-analiza-programow-nauczania-tabele-z-wartosciami-zmiennych/","book","","2"
"http://bon.edu.pl/katalog/lektura/aneks-metodologiczny/","Aneks metodologiczny","","Siuda Piotr, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/aneks-metodologiczny/","book","","2"
"http://bon.edu.pl/katalog/lektura/ankieta-szkolna-jako-pretekst-do-lekcji-na-temat-patriotyzmu/","Ankieta szkolna jako pretekst do lekcji na temat patriotyzmu","","Jadczak, Maria","http://bon.edu.pl/katalog/lektura/ankieta-szkolna-jako-pretekst-do-lekcji-na-temat-patriotyzmu/","book","","2"
"http://bon.edu.pl/katalog/lektura/aparat-bezpieczenstwa-i-zbrodnie-komunizmu/","Aparat bezpieczeństwa i zbrodnie komunizmu","","Kamiński, Łukasz","http://bon.edu.pl/katalog/lektura/aparat-bezpieczenstwa-i-zbrodnie-komunizmu/","book","","2"
"http://bon.edu.pl/katalog/lektura/approaching-40-world-heritage-today-and-its-possible-future/","Approaching 40: World Heritage Today and its Possible Future","","Fejérdy Tamás","http://bon.edu.pl/katalog/lektura/approaching-40-world-heritage-today-and-its-possible-future/","book","","2"
"http://bon.edu.pl/katalog/lektura/architektura-jako-wyraz-stolecznosci-krakowa-i-lwowa-w-dobie-nowozytnej/","Architektura jako wyraz stołeczności Krakowa i Lwowa w dobie nowożytnej","","Miłobędzki Adam","http://bon.edu.pl/katalog/lektura/architektura-jako-wyraz-stolecznosci-krakowa-i-lwowa-w-dobie-nowozytnej/","book","","2"
"http://bon.edu.pl/katalog/lektura/artykuly-henrykowskie/","Artykuły Henrykowskie","","Wołek Tomasz","http://bon.edu.pl/katalog/lektura/artykuly-henrykowskie/","book","","2"
"http://bon.edu.pl/katalog/lektura/artysta-na-przelomie-epok-francisco-goya/","Artysta na przełomie epok - Francisco Goya","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/artysta-na-przelomie-epok-francisco-goya/","book","","2"
"http://bon.edu.pl/katalog/lektura/aspekty-prawne-systemu-ochrony-dziedzictwa-w-polsce/","Aspekty prawne systemu ochrony dziedzictwa w Polsce","","Dobosz Piotr","http://bon.edu.pl/katalog/lektura/aspekty-prawne-systemu-ochrony-dziedzictwa-w-polsce/","book","","2"
"http://bon.edu.pl/katalog/lektura/autorzy-tomu/","Autorzy tomu","","","http://bon.edu.pl/katalog/lektura/autorzy-tomu/","book","","2"
"http://bon.edu.pl/katalog/lektura/badania-nad-kapitalem-mieszczanskim-gdanska-w-ii-pol-xv-w/","Badania nad kapitałem mieszczańskim Gdańska w II poł. XV w.","","Samsonowicz Henryk","http://bon.edu.pl/katalog/lektura/badania-nad-kapitalem-mieszczanskim-gdanska-w-ii-pol-xv-w/","book","","2"
"http://bon.edu.pl/katalog/lektura/badania-nad-sztuka-sredniowieczna/","Badania nad sztuką średniowieczną","","Skubiszewski Piotr","http://bon.edu.pl/katalog/lektura/badania-nad-sztuka-sredniowieczna/","book","","2"
"http://bon.edu.pl/katalog/lektura/badania-nad-wystepowaniem-zjawiska-ageizmu-i-jego-eskalacji-pod-wplywem-wstretu/","Badania nad występowaniem zjawiska ageizmu i jego eskalacji pod wpływem wstrętu","","Jakubiec Olga","http://bon.edu.pl/katalog/lektura/badania-nad-wystepowaniem-zjawiska-ageizmu-i-jego-eskalacji-pod-wplywem-wstretu/","book","","2"
"http://bon.edu.pl/katalog/lektura/bez-panstwa-demokracja-uczestniczaca-w-dzialaniu/","Bez państwa. Demokracja uczestnicząca w działaniu","","Górski Rafał","http://bon.edu.pl/katalog/lektura/bez-panstwa-demokracja-uczestniczaca-w-dzialaniu/","book","","2"
"http://bon.edu.pl/katalog/lektura/bialorusini/","Białorusini","","Łatyszonek Oleg","http://bon.edu.pl/katalog/lektura/bialorusini/","book","","2"
"http://bon.edu.pl/katalog/lektura/bibliografia/","Bibliografia","","","http://bon.edu.pl/katalog/lektura/bibliografia/","book","","2"
"http://bon.edu.pl/katalog/lektura/biezace-prace-nad-nowymi-propozycjami-do-listy-swiatowego-dziedzictwa-kulturowego-i-przyrodniczego-unesco-w-norwegii-lista-wstepna-i-proponowane-nominacje/","Bieżące prace nad nowymi propozycjami do Listy Światowego Dziedzictwa Kulturowego i Przyrodniczego UNESCO w Norwegii. Lista wstępna i proponowane nominacje","","Taugbøl Trond","http://bon.edu.pl/katalog/lektura/biezace-prace-nad-nowymi-propozycjami-do-listy-swiatowego-dziedzictwa-kulturowego-i-przyrodniczego-unesco-w-norwegii-lista-wstepna-i-proponowane-nominacje/","book","","2"
"http://bon.edu.pl/katalog/lektura/biogramy-autorow-pod-wspolnym-niebem-narody-dawnej-rzeczypospolitej/","Biogramy autorów - Pod wspólnym niebem. Narody dawnej Rzeczypospolitej","","","http://bon.edu.pl/katalog/lektura/biogramy-autorow-pod-wspolnym-niebem-narody-dawnej-rzeczypospolitej/","book","","2"
"http://bon.edu.pl/katalog/lektura/biogramy-obrazcialo/","Biogramy - Obraz/ciało","","","http://bon.edu.pl/katalog/lektura/biogramy-obrazcialo/","book","","2"
"http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-dwudziestolecie/","Biogramy - Polski wiek XX: Dwudziestolecie,","","","http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-dwudziestolecie/","book","","2"
"http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-ii-wojna-swiatowa/","Biogramy - Polski wiek XX: II wojna światowa","","","http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-ii-wojna-swiatowa/","book","","2"
"http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-prl-od-grudnia-70-do-czerwca-89/","Biogramy - Polski wiek XX: PRL od grudnia 70 do czerwca 89","","","http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-prl-od-grudnia-70-do-czerwca-89/","book","","2"
"http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-prl-od-lipca-1944-do-grudnia-1970/","Biogramy - Polski wiek XX: PRL od lipca 1944 do grudnia 1970","","","http://bon.edu.pl/katalog/lektura/biogramy-polski-wiek-xx-prl-od-lipca-1944-do-grudnia-1970/","book","","2"
"http://bon.edu.pl/katalog/lektura/biographical-notes/","Biographical Notes","","","http://bon.edu.pl/katalog/lektura/biographical-notes/","book","","2"
"http://bon.edu.pl/katalog/lektura/brama-krakowska/","Brama Krakowska","","Kiss G. Csaba","http://bon.edu.pl/katalog/lektura/brama-krakowska/","book","","3"
"http://bon.edu.pl/katalog/lektura/buried-under-monuments/","Buried under monuments","","Vášáryová Magdalena","http://bon.edu.pl/katalog/lektura/buried-under-monuments/","book","","3"
"http://bon.edu.pl/katalog/lektura/cesky-krumlov-castle-and-chateau-world-heritage-site-between-conservation-and-marketing/","Ćesky Krumlov Castle and Chateau. A World Heritage Site between conservation and marketing","","Pavelec Petr","http://bon.edu.pl/katalog/lektura/cesky-krumlov-castle-and-chateau-world-heritage-site-between-conservation-and-marketing/","book","","3"
"http://bon.edu.pl/katalog/lektura/cwiczenia-slowne-o-jezyku-psychologicznego-poznania-uwag-kilka/","Ćwiczenia słowne – o języku psychologicznego poznania uwag kilka","","Wiktor Magdalena","http://bon.edu.pl/katalog/lektura/cwiczenia-slowne-o-jezyku-psychologicznego-poznania-uwag-kilka/","book","","3"
"http://bon.edu.pl/katalog/lektura/charakterystyka-dzialalnosci-kulturalnej-w-polsce-po-transformacji-ustrojowej/","Charakterystyka działalności kulturalnej w Polsce po transformacji ustrojowej","","Jagodzińska Katarzyna","http://bon.edu.pl/katalog/lektura/charakterystyka-dzialalnosci-kulturalnej-w-polsce-po-transformacji-ustrojowej/","book","","3"
"http://bon.edu.pl/katalog/lektura/charakterystyka-osobowosciowa-wiezniow-w-kontekscie-ich-zdrowienia-z-uzaleznienia-od-alkoholu/","Charakterystyka osobowościowa więźniów w kontekście ich zdrowienia z uzależnienia od alkoholu","","Juza Szymon","http://bon.edu.pl/katalog/lektura/charakterystyka-osobowosciowa-wiezniow-w-kontekscie-ich-zdrowienia-z-uzaleznienia-od-alkoholu/","book","","3"
"http://bon.edu.pl/katalog/lektura/co-nam-w-mozgu-gra-neuropsychologiczny-aspekt-doswiadczania-muzyki/","Co nam w mózgu gra? – neuropsychologiczny aspekt doświadczania muzyki","","Cieniek Ewa","http://bon.edu.pl/katalog/lektura/co-nam-w-mozgu-gra-neuropsychologiczny-aspekt-doswiadczania-muzyki/","book","","3"
"http://bon.edu.pl/katalog/lektura/co-pozostalo-z-kresow/","Co pozostało z kresów","","Kroh Antoni","http://bon.edu.pl/katalog/lektura/co-pozostalo-z-kresow/","book","","3"
"http://bon.edu.pl/katalog/lektura/common-threads-different-patterns-case-study-cross-border-heritage/","Common threads, different patterns. A case study of cross-border heritage","","Leonard Catherine","http://bon.edu.pl/katalog/lektura/common-threads-different-patterns-case-study-cross-border-heritage/","book","","3"
"http://bon.edu.pl/katalog/lektura/constitutional-trends-and-social-developments-central-europe-baltic-countries-and-polish-lithuanian-commonwe/","Constitutional Trends and Social Developments in Central Europe, the Baltic Countries and the Polish-Lithuanian Commonwealth","","Małowist Marian","http://bon.edu.pl/katalog/lektura/constitutional-trends-and-social-developments-central-europe-baltic-countries-and-polish-lithuanian-commonwe/","book","","3"
"http://bon.edu.pl/katalog/lektura/cultural-heritage-and-social-capital/","Cultural heritage and social capital","","Purchla Jacek","http://bon.edu.pl/katalog/lektura/cultural-heritage-and-social-capital/","book","","3"
"http://bon.edu.pl/katalog/lektura/cyganie-romowie/","Cyganie-Romowie","","Mróz Lech","http://bon.edu.pl/katalog/lektura/cyganie-romowie/","book","","3"
"http://bon.edu.pl/katalog/lektura/czara-wloclawska-studia-nad-spuscizna-wschodu-w-sztuce-wczesnego-sredniowiecza/","Czara włocławska. Studia nad spuścizną Wschodu w sztuce wczesnego średniowiecza","","Skubiszewski Piotr","http://bon.edu.pl/katalog/lektura/czara-wloclawska-studia-nad-spuscizna-wschodu-w-sztuce-wczesnego-sredniowiecza/","book","","3"
"http://bon.edu.pl/katalog/lektura/czas-w-spoleczenstwie-problemy-tradycje-kierunki-badan/","Czas w społeczeństwie. Problemy, tradycje, kierunki badań","","Tarkowska Elżbieta","http://bon.edu.pl/katalog/lektura/czas-w-spoleczenstwie-problemy-tradycje-kierunki-badan/","book","","3"
"http://bon.edu.pl/katalog/lektura/czas-w-zyciu-polakow-wyniki-badan-hipotezy-impresje/","Czas w życiu Polaków. Wyniki badań, hipotezy, impresje","","Tarkowska Elżbieta","http://bon.edu.pl/katalog/lektura/czas-w-zyciu-polakow-wyniki-badan-hipotezy-impresje/","book","","3"
"http://bon.edu.pl/katalog/lektura/czas-wielkich-zmian/","Czas wielkich zmian","","Hall Aleksander","http://bon.edu.pl/katalog/lektura/czas-wielkich-zmian/","book","","3"
"http://bon.edu.pl/katalog/lektura/czas-wyobrazony-o-sposobach-opowiadania-w-polskim-malarstwie-xix-wieku/","Czas wyobrażony. O sposobach opowiadania w polskim malarstwie XIX wieku","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/czas-wyobrazony-o-sposobach-opowiadania-w-polskim-malarstwie-xix-wieku/","book","","3"
"http://bon.edu.pl/katalog/lektura/czas-zanikajacych-granic/","Czas zanikających granic","","Purchla Jacek","http://bon.edu.pl/katalog/lektura/czas-zanikajacych-granic/","book","","3"
"http://bon.edu.pl/katalog/lektura/czy-artystce-wolno-wyjsc-za-maz/","Czy artystce wolno wyjść za mąż?","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/czy-artystce-wolno-wyjsc-za-maz/","book","","3"
"http://bon.edu.pl/katalog/lektura/czy-mezczyzni-bedacy-w-zwiazku-sa-bardziej-inteligentni-emocjonalnie-od-singli/","Czy mężczyźni będący w związku są bardziej inteligentni emocjonalnie od singli?","","Bobrzyk Katarzyna, Goszczak Katarzyna, Lubikowska Aleksandra","http://bon.edu.pl/katalog/lektura/czy-mezczyzni-bedacy-w-zwiazku-sa-bardziej-inteligentni-emocjonalnie-od-singli/","book","","3"
"http://bon.edu.pl/katalog/lektura/czy-mozna-chronic-swiat-ktory-przestal-istniec-dzielnica-zydowska-w-lublinie/","Czy można chronić świat, który przestał istnieć? Dzielnica żydowska w Lublinie","","Szmygin Bogusław","http://bon.edu.pl/katalog/lektura/czy-mozna-chronic-swiat-ktory-przestal-istniec-dzielnica-zydowska-w-lublinie/","book","","3"
"http://bon.edu.pl/katalog/lektura/czy-wegrzy-maja-swoje-kresy-wschodnie/","Czy Węgrzy mają swoje Kresy Wschodnie?","","Lagzi Gábor","http://bon.edu.pl/katalog/lektura/czy-wegrzy-maja-swoje-kresy-wschodnie/","book","","3"
"http://bon.edu.pl/katalog/lektura/czynnik-staly-rosja/","Czynnik stały - Rosja!","","Hall Aleksander","http://bon.edu.pl/katalog/lektura/czynnik-staly-rosja/","book","","3"
"http://bon.edu.pl/katalog/lektura/debates-urban-conservation-policies-communist-czechoslovakia-1960s-and-1970s-note-warning-context-present-unesco-discussion-historic-urban-landscape/","Debates on urban conservation policies in Communist Czechoslovakia of the 1960s and 1970s. A note of warning in the context of the present UNESCO discussion on Historic Urban Landscape","","Štulc Josef","http://bon.edu.pl/katalog/lektura/debates-urban-conservation-policies-communist-czechoslovakia-1960s-and-1970s-note-warning-context-present-unesco-discussion-historic-urban-landscape/","book","","3"
"http://bon.edu.pl/katalog/lektura/declaration-1st-heritage-forum-central-europe/","Declaration of the 1st Heritage Forum of Central Europe","","","http://bon.edu.pl/katalog/lektura/declaration-1st-heritage-forum-central-europe/","book","","3"
"http://bon.edu.pl/katalog/lektura/derek-jarman-portret-indywidualisty/","Derek Jarman. Portret indywidualisty","","Radkiewicz Małgorzata","http://bon.edu.pl/katalog/lektura/derek-jarman-portret-indywidualisty/","book","","4"
"http://bon.edu.pl/katalog/lektura/deux-consoles-chartraines-le-mattre-doeuvre-et-son-patron-devant-le-jugement-dernier/","Deux consoles chartraines: le mattre d'oeuvre et son """"patron"""" devant le Jugement Dernier","","Skubiszewski Piotr","http://bon.edu.pl/katalog/lektura/deux-consoles-chartraines-le-mattre-doeuvre-et-son-patron-devant-le-jugement-dernier/","book","","4"
"http://bon.edu.pl/katalog/lektura/dlaczego-male-dziewczynki-sa-bardziej-szczodre-niz-mali-chlopcy-co-odpowiada-za-roznice-plciowe-w-zachowaniach-prospolecznych-u-dzieci-w-wieku-56-lat/","Dlaczego małe dziewczynki są bardziej szczodre niż mali chłopcy. Co odpowiada za różnice (...)","","Niemczyk Agnieszka","http://bon.edu.pl/katalog/lektura/dlaczego-male-dziewczynki-sa-bardziej-szczodre-niz-mali-chlopcy-co-odpowiada-za-roznice-plciowe-w-zachowaniach-prospolecznych-u-dzieci-w-wieku-56-lat/","book","","4"
"http://bon.edu.pl/katalog/lektura/do-czego-sluzy-historia/","Do czego służy historia","","Piccinato, Giorgio","http://bon.edu.pl/katalog/lektura/do-czego-sluzy-historia/","book","","4"
"http://bon.edu.pl/katalog/lektura/dojrzalosc-emocjonalna-funkcjonowanie-moralne/","Dojrzałość emocjonalna a funkcjonowanie moralne","","Strus Włodzimierz","http://bon.edu.pl/katalog/lektura/dojrzalosc-emocjonalna-funkcjonowanie-moralne/","book","","4"
"http://bon.edu.pl/katalog/lektura/doswiadczenia-konserwacji-trzech-przygranicznych-kosciolow-na-slowacji/","Doświadczenia konserwacji trzech przygranicznych kościołów na Słowacji","","Krcho Jan","http://bon.edu.pl/katalog/lektura/doswiadczenia-konserwacji-trzech-przygranicznych-kosciolow-na-slowacji/","book","","4"
"http://bon.edu.pl/katalog/lektura/druga-wojna-swiatowa-w-doswiadczeniu-krakowa-i-lwowa/","Druga wojna światowa w doświadczeniu Krakowa i Lwowa","","Żygulski Zdzisław jun.","http://bon.edu.pl/katalog/lektura/druga-wojna-swiatowa-w-doswiadczeniu-krakowa-i-lwowa/","book","","4"
"http://bon.edu.pl/katalog/lektura/dwie-optyki/","Dwie optyki","","Budzisz Marek","http://bon.edu.pl/katalog/lektura/dwie-optyki/","book","","4"
"http://bon.edu.pl/katalog/lektura/dwoistosc-obrazu-problem-widzenia-jako-u-jaspera-johnsa-richarda-wollheima-i-ludwiga-wittgensteina/","Dwoistość obrazu. Problem „widzenia jako” u Jaspera Johnsa, Richarda Wollheima i Ludwiga Wittgensteina","","Neuner Stefan","http://bon.edu.pl/katalog/lektura/dwoistosc-obrazu-problem-widzenia-jako-u-jaspera-johnsa-richarda-wollheima-i-ludwiga-wittgensteina/","book","","4"
"http://bon.edu.pl/katalog/lektura/dyscyplinysztuki/","Dyscypliny/sztuki","","Brożyński Paweł, Jędrzejczyk Małgorzata","http://bon.edu.pl/katalog/lektura/dyscyplinysztuki/","book","","4"
"http://bon.edu.pl/katalog/lektura/dyskusja-panelowa-dziedzictwo-kresow-nasze-wspolne-dziedzictwo/","Dyskusja panelowa: Dziedzictwo Kresów - nasze wspólne dziedzictwo?","","","http://bon.edu.pl/katalog/lektura/dyskusja-panelowa-dziedzictwo-kresow-nasze-wspolne-dziedzictwo/","book","","4"
"http://bon.edu.pl/katalog/lektura/dzialalnosc-edukacyjna-polskiego-towarzystwa-historycznego/","Działalność edukacyjna Polskiego Towarzystwa Historycznego","","Kozłowska Teresa Zofia","http://bon.edu.pl/katalog/lektura/dzialalnosc-edukacyjna-polskiego-towarzystwa-historycznego/","book","","4"
"http://bon.edu.pl/katalog/lektura/dzieci-sieci-20-kompetencje-komunikacyjne-mlodych/","Dzieci sieci 2.0 Kompetencje komunikacyjne młodych","","Dąbrowska Justyna Anna, Klimowicz Marta, Kulczycki Emanuel, Piotrowska Renata, Rozkosz Ewa, Sieńko Marcin, Siuda Piotr, Stachura Krzysztof, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/dzieci-sieci-20-kompetencje-komunikacyjne-mlodych/","book","","4"
"http://bon.edu.pl/katalog/lektura/dzieci-sieci-kompetencje-komunikacyjne-najmlodszych/","Dzieci sieci. Kompetencje komunikacyjne najmłodszych","","red., Siuda Piotr, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/dzieci-sieci-kompetencje-komunikacyjne-najmlodszych/","book","","4"
"http://bon.edu.pl/katalog/lektura/dzieci-sieci-kompetencje-komunikacyjne-najmlodszych-wprowadzenie/","Dzieci Sieci. Kompetencje komunikacyjne najmłodszych - Wprowadzenie","","Siuda Piotr, Stunża D. Grzegorz","http://bon.edu.pl/katalog/lektura/dzieci-sieci-kompetencje-komunikacyjne-najmlodszych-wprowadzenie/","book","","4"
"http://bon.edu.pl/katalog/lektura/dziedzictwo-bez-dziedzica/","Dziedzictwo bez dziedzica","","Unger Leopold","http://bon.edu.pl/katalog/lektura/dziedzictwo-bez-dziedzica/","book","","4"
"http://bon.edu.pl/katalog/lektura/dziedzictwo-i-pamiec-wydziedziczenie-i-zapominanie-mck-jako-czesc-mojego-dziedzictwa/","Dziedzictwo i pamięć, wydziedziczenie i zapominanie. MCK jako część mojego dziedzictwa","","Ashworth J. Gregory","http://bon.edu.pl/katalog/lektura/dziedzictwo-i-pamiec-wydziedziczenie-i-zapominanie-mck-jako-czesc-mojego-dziedzictwa/","book","","4"
"http://bon.edu.pl/katalog/lektura/dziedzictwo-jako-produkt-w-ujeciu-marketingowym/","Dziedzictwo jako produkt w ujęciu marketingowym","","Šola Tomislav","http://bon.edu.pl/katalog/lektura/dziedzictwo-jako-produkt-w-ujeciu-marketingowym/","book","","4"
